BBR_latency,CUBIC_latency,Buffer,Bandwidth,rtt
1.15,1.14,10000,750,5
1.16,1.15,10000,750,5
1.16,1.14,10000,750,10
1.16,1.14,10000,750,10
1.16,1.14,10000,750,10
1.16,1.15,10000,750,10
1.15,1.15,10000,750,10
1.16,1.15,10000,750,25
1.16,1.14,10000,750,25
1.16,1.15,10000,750,25
1.16,1.14,10000,750,25
1.15,1.15,10000,750,25
1.16,1.14,10000,750,50
1.16,1.14,10000,750,50
1.16,1.14,10000,750,50
1.15,1.14,10000,750,50
1.16,1.15,10000,750,50
1.16,1.14,10000,750,75
1.16,1.14,10000,750,75
1.16,1.14,10000,750,75
1.16,1.14,10000,750,75
1.16,1.14,10000,750,75
1.16,1.14,10000,750,100
1.16,1.15,10000,750,100
1.16,1.14,10000,750,100
1.15,1.15,10000,750,100
1.16,1.13,10000,750,100
1.16,1.14,10000,750,150
1.16,1.14,10000,750,150
1.16,1.13,10000,750,150
1.16,1.14,10000,750,150
1.16,1.14,10000,750,150
1.15,1.14,10000,750,200
1.16,1.14,10000,750,200
1.16,1.14,10000,750,200
1.16,1.14,10000,750,200
1.16,1.15,10000,750,200
0.87,0.85,10000,1000,5
0.87,0.86,10000,1000,5
0.87,0.86,10000,1000,5
0.87,0.86,10000,1000,5
0.87,0.85,10000,1000,5
0.87,0.86,10000,1000,10
0.87,0.85,10000,1000,10
0.87,0.86,10000,1000,10
0.87,0.86,10000,1000,10
0.87,0.85,10000,1000,10
0.87,0.85,10000,1000,25
0.87,0.86,10000,1000,25
0.87,0.86,10000,1000,25
0.87,0.86,10000,1000,25
0.87,0.85,10000,1000,25
0.87,0.86,10000,1000,50
0.87,0.86,10000,1000,50
0.87,0.85,10000,1000,50
0.87,0.86,10000,1000,50
0.87,0.86,10000,1000,50
0.87,0.86,10000,1000,75
0.87,0.86,10000,1000,75
0.87,0.85,10000,1000,75
0.87,0.86,10000,1000,75
0.87,0.85,10000,1000,75
0.87,0.86,10000,1000,100
0.87,0.86,10000,1000,100
0.87,0.86,10000,1000,100
0.87,0.85,10000,1000,100
0.87,0.86,10000,1000,100
0.87,0.86,10000,1000,150
0.87,0.86,10000,1000,150
0.87,0.86,10000,1000,150
0.87,0.85,10000,1000,150
0.87,0.85,10000,1000,150
0.87,0.86,10000,1000,200
0.87,0.85,10000,1000,200
0.87,0.86,10000,1000,200
0.87,0.86,10000,1000,200
0.87,0.86,10000,1000,200
